,precision,recall,f1-score,support
apple_pie,0.8109243697478992,0.772,0.7909836065573771,250.0
hamburger,0.897119341563786,0.872,0.8843813387423936,250.0
french_fries,0.9140625,0.936,0.924901185770751,250.0
hot_dog,0.9218106995884774,0.896,0.9087221095334685,250.0
sushi,0.9047619047619048,0.836,0.8690228690228691,250.0
donuts,0.9004149377593361,0.868,0.8839103869653768,250.0
ice_cream,0.842911877394636,0.88,0.8610567514677103,250.0
chicken_wings,0.9011406844106464,0.948,0.9239766081871345,250.0
pizza,0.9453125,0.968,0.9565217391304348,250.0
caesar_salad,0.8917910447761194,0.956,0.9227799227799228,250.0
accuracy,0.8932,0.8932,0.8932,0.8932
macro avg,0.8930249860002807,0.8932,0.8926256518157437,2500.0
weighted avg,0.8930249860002805,0.8932,0.8926256518157439,2500.0
